repo,base_commit,num_java_files,num_loc,num_pom_xml,num_src_test_java_files,num_test_cases,license,migrated,attempted
zeroual-omar/config-server,d7801ef6ab7fbb7ff838da860b200646bf8c47ee,4,93,1,1,2,Apache-2.0,True,True
xVir/api-ai-java-webhook,ee93847a8d3fb39743a23bb094929ccda4f2c064,4,118,1,1,-2,Apache-2.0,True,True
JaroslavTulach/heapdump,87042b6e4f8b58dd49cb0df3bd6867621f5d5e27,2,127,1,1,1,Apache-2.0,True,True
jonashackt/spring-boot-rest-clientcertificate,8b3a6c8e1c93a42fb9dc3244b573213208f1e3c8,5,128,1,2,1,MIT,True,True
iKubernetes/spring-boot-helloWorld,fea6fe43e54f3f0ed434b5f2f2b3e1c3e938d8e8,5,129,1,3,3,Apache-2.0,True,True
serpro69/kotlin-aspectj-maven-example,c05c5953ff3bac7a1184fe6ef1cdcd7b76181e2d,4,156,1,1,2,MIT,True,True
SimpleProgramming/springboot-security-simple-jwt,de69c334bab277be94605c4807958822b2865494,8,194,1,1,1,MIT,True,True
lkrnac/blog-2014-12-06-mock-spring-bean,396af50db7af42d23dde0c59c0e5e74e3467eb49,10,203,1,5,-2,MIT,True,True
BjoernKW/oauth2-with-jira,d24180b10d3bd803524dc858db1e01f41bfe8dfe,6,251,1,1,1,Apache-2.0,True,True
fromi/spring-google-openidconnect,7e29fdfa27f41848dd95f3788c088bffa235888f,7,281,1,1,-2,MIT,True,True
dilagurung/java-request-interceptor,57406451e1c81c101f03cc78d3087e30c8e1375b,7,338,1,1,1,Apache-2.0,True,True
Artur-/a-vaadin-helper,84c6e9d4d040fc04d042b7d92414844825553976,8,347,1,2,3,Apache-2.0,True,True
m1l4n54v1c/meetup,b3492a44aebc7542007a79ed263340a61026aa2c,10,414,4,0,5,Apache-2.0,True,True
software-space/qiyana-aggregator,02c6e224a997da91b37ed8a8a720a29b12119991,8,415,1,1,1,Apache-2.0,True,True
TaoZhuGongBoy/enumstatemachine,c113642308637e8836b2abaf3514b3aa285800b7,13,417,1,3,5,Apache-2.0,False,True
epignosisx/spring-cloud-config-server-jwt,49a923eb4c973b930bfe1d5d68f2bc5b25414ced,8,422,1,1,1,MIT,True,True
uzxmx/javasist-demo,a83c84e81d437383fbf1592b429ece32344727c2,10,427,1,4,4,MIT,False,False
SimpleProgramming/spring-boot-ehCache-CacheManager,447e53f8abe9aeff330b544a48b0e740ede750ac,12,489,1,1,1,MIT,True,True
jenkinsci/chef-identity-plugin,bb784cd67b245a97c06e51e6dc477fe21355d8d7,4,491,1,0,8,MIT,True,True
hzpz/mongeez-spring-boot-starter,15366a4b02bc743f31cd030636872bd276259811,5,530,1,2,8,Apache-2.0,True,True
fbeaufume/spring-graphql-sample,d61fe282d8cd1372e5f6a152f77fdce8cb535dd1,13,531,1,1,4,MIT,False,False
jobmission/oauth2-client,6e792b57816b586ca1755dde0b1fa5b93a1eaad9,6,534,1,1,-1,MIT,False,False
jarlehansen/springfox-loader,cdd05aff73e94bfbb7fc21f0b5fcd78c13eab5c5,10,535,1,4,17,Apache-2.0,False,False
fedefary/signer,7fece3bc4a288b1e317da5100954fc229aec448d,13,536,1,1,1,MIT,False,False
spring-cloud-services-samples/traveler,399748d9c44bd14d502b61bc0409849a3a4ceec0,11,549,3,0,4,Apache-2.0,False,False
rupert-madden-abbott/jcommander-spring-boot-starter,9724d009990daddd60d025cdf1fe614bfc82343a,19,562,1,10,9,Apache-2.0,False,False
poetix/ambivalence,09b34ccdb07541449588804031c8415d4a80c046,20,562,1,3,16,MIT,False,False
DickChesterwood/fleetman-webapp,8bb27b695219979d0da44b13b927c320885d26d9,13,563,1,1,1,MIT,False,False
jzheaux/resolutions,5632a44cc9673bbf7b43e807b97d38c89b6bc1bf,12,589,1,1,1,Apache-2.0,False,False
knes1/springmockedtests,10bba566a28c3a26404dd4af5d02a2b26ced7687,16,596,1,4,1,MIT,False,False
284885166/spring-boot-hashids,4973285e49b48be7b10818fae530159c55af267a,11,614,3,0,1,Apache-2.0,False,False
xebia-os/xebia-archunit-extension,de7cdd4d36f2fd30b5a7167d3711f18d8a9f6064,11,760,3,0,19,Apache-2.0,False,False
wanwenjie1993/Emoticon,581c474aaf51de17ca112491ef7db6e0b34b8737,17,794,2,1,1,Apache-2.0,False,False
exabrial/form-binding,5e997ef96e890918de6b10083e612af1471403dc,26,895,5,0,2,Apache-2.0,False,False
wangqifox/spring-demo,ee872c782d93748e00013193e98910f155375ead,35,955,5,0,1,Apache-2.0,False,False
dabla/grizzly-spring-boot-starter,16807691c69750bc9fb2e1bf07e5b97069c454ee,20,974,3,0,4,Apache-2.0,False,False
camunda-community-hub/camunda-bpm-junit5,b4d14f3a981c06c47bc9071182a3c4101453c035,19,980,4,0,1,Apache-2.0,False,False
yyenigun/light-calendar,02331f6f4db184285ce17185a33f1b286992bc1e,29,1009,2,0,5,Apache-2.0,False,False
erhmutlu/iyzico-kafka-demo,77ab3bef7eee59883ec2db3b2a1ef136381951ee,33,1102,4,0,1,MIT,False,False
spring-attic/tasklauncher-dataflow,7817457f63dfc22a8dc002581e4c56aa8eacab22,12,1185,6,0,7,Apache-2.0,False,False
